DATE,STATION_ID,NAME,COUNTRY,YEAR,MONTH,TMAX,BASELINE,ZSCORE,EVENT_TYPE,SEVERITY
2011-03-30,LAM00048946,THAKHEK,Laos,2011,3,17.0,34.25894736842104,-5.146405474531857,Cold Snap,5.15
2004-10-30,RP000098444,LEGASPI,Philippines,2004,10,38.8,31.475527426160333,5.149235603279035,Heatwave,5.15
2005-11-26,IDM00096741,JAKARTA/TANJUNG PRIOK,Indonesia,2005,11,25.8,32.881741573033715,-5.149515737969107,Cold Snap,5.15
2000-06-24,IDM00097600,SANANA,Indonesia,2000,6,25.6,31.075495049504973,-5.1368462459485595,Cold Snap,5.14
2000-02-29,TH000048552,NAKHON SI THAMMARAT,Thailand,2000,2,26.2,31.552090592334505,-5.141615046281574,Cold Snap,5.14
2001-03-10,TH000048450,KANCHANABURI,Thailand,2001,3,24.4,36.922560000000004,-5.143044063242847,Cold Snap,5.14
2005-08-12,IDM00096009,MALIKUS SALEH,Indonesia,2005,8,37.4,31.895155709342582,5.128209289044723,Heatwave,5.13
2004-12-03,IDM00096935,SURABAYA JUANDA,Indonesia,2004,12,25.7,32.775870069605574,-5.128140219861044,Cold Snap,5.13
2023-01-07,TH000048569,HAT YAI,Thailand,2023,1,24.0,31.429854368932045,-5.130884337990166,Cold Snap,5.13
2001-03-13,TH000048501,KHLONG YAI,Thailand,2001,3,27.6,32.77531992687389,-5.132738683317803,Cold Snap,5.13
2005-01-16,TH000048477,SATTAHIP,Thailand,2005,1,25.5,32.69260869565219,-5.1314926635138445,Cold Snap,5.13
2010-03-22,TH000048568,SONGKHLA,Thailand,2010,3,36.7,31.6199124726477,5.134485991485567,Heatwave,5.13
2021-11-20,IDM00096935,SURABAYA JUANDA,Indonesia,2021,11,26.7,33.642227378190235,-5.117258800780129,Cold Snap,5.12
2010-08-09,IDM00097406,GALELA/GAMARMALAMU,Indonesia,2010,8,26.4,31.916510903426772,-5.117387244286997,Cold Snap,5.12
2017-11-05,TH000048477,SATTAHIP,Thailand,2017,11,26.4,33.558160919540235,-5.110453859772618,Cold Snap,5.11
2001-03-10,TH000048376,TAK,Thailand,2001,3,25.6,37.801757812499986,-5.108712398470605,Cold Snap,5.11
2017-04-06,TH000048552,NAKHON SI THAMMARAT,Thailand,2017,4,25.4,34.03566775244301,-5.113515363268823,Cold Snap,5.11
2023-04-02,BMM00048062,SITTWE,Myanmar,2023,4,27.0,33.67288135593221,-5.108342711114283,Cold Snap,5.11
2013-05-10,RPM00098328,BAGUIO,Philippines,2013,5,35.0,24.963444639718794,5.1147284501865435,Heatwave,5.11
2016-06-17,IDM00096009,MALIKUS SALEH,Indonesia,2016,6,27.0,32.37568093385214,-5.098629124033028,Cold Snap,5.1
2006-10-02,TH000048432,SURIN,Thailand,2006,10,23.8,31.73904593639575,-5.0978465249978795,Cold Snap,5.1
2006-02-13,TH000048477,SATTAHIP,Thailand,2006,2,27.3,32.885647058823544,-5.104885546952828,Cold Snap,5.1
2008-01-27,IDM00096645,ISKANDAR,Indonesia,2008,1,25.4,32.47311557788946,-5.101228552595687,Cold Snap,5.1
